state,bill_number,year,state_full,bill_number_raw,status,status_detail,issues_raw,issue_categories,label,source,legiscan_bill_id,legiscan_text_url
MA,S350,2025,Massachusetts,S.350,Advancing,Committee recommended ought not to pass by committee,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
IA,SF473,2025,Iowa,S.F.473,Advancing,"Legislative session adjourned, carries over to 2026",Religious exemptions | Weakening Civil Rights Laws,['religious_exemption'],harmful,aclu_tracker,,
PA,HB158,2025,Pennsylvania,H.B.158,Advancing,Re-referred to committee,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
OH,HB172,2025,Ohio,H.B.172,Advancing,Third committee hearing,Healthcare age restrictions | Healthcare restrictions | ,['healthcare'],harmful,aclu_tracker,,
NH,HB620,2025,New Hampshire,H.B.620,Defeated,Died on table; not retained for 2026 session,Religious exemptions | Weakening Civil Rights Laws,['religious_exemption'],harmful,aclu_tracker,,
NH,HB148,2025,New Hampshire,H.B.148,Defeated,Governor's veto sustained ,Other civil rights restrictions | Weakening Civil Rights Laws,['other'],harmful,aclu_tracker,,
NH,HB712,2025,New Hampshire,H.B.712,Passed into Law,Governor signed,Healthcare age restrictions | Healthcare restrictions | ,['healthcare'],harmful,aclu_tracker,,
NH,HB377,2025,New Hampshire,H.B.377,Passed into Law,Governor signed,Healthcare age restrictions | Healthcare restrictions | ,['healthcare'],harmful,aclu_tracker,,
NH,SB38,2025,New Hampshire,S.B.38,Defeated,"Reported unfavorably by committee, not retained for 2026 session",Other civil rights restrictions | Weakening Civil Rights Laws,['other'],harmful,aclu_tracker,,
NH,SB211,2025,New Hampshire,S.B.211,Defeated,"Committee reported inexpedient to legislate, not retained for 2026 session",Restricting student & educator rights | School facilities bans | School sports bans,"['facilities', 'sports', 'education']",harmful,aclu_tracker,,
NH,SB268,2025,New Hampshire,S.B.268,Advancing,Reported favorably by Majority Committee; retained for 2026 session,Healthcare age restrictions | Healthcare restrictions | Other civil rights restrictions | Weakening Civil Rights Laws,['healthcare'],harmful,aclu_tracker,,
IA,HF571,2025,Iowa,H.F.571,Advancing,"Legislative session adjourned, carries over to 2026",Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,"['religious_exemption', 'healthcare']",harmful,aclu_tracker,,
MI,HB4024,2025,Michigan,H.B.4024,Advancing,Passed House; Senate referred to committee,Restricting student & educator rights | School facilities bans,"['facilities', 'education']",harmful,aclu_tracker,,
ME,LD1134,2025,Maine,L.D. 1134 (S.P. 461),Defeated,House and Senate concurred ought not to pass,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
ME,LD868,2025,Maine,L.D. 868 (H.P. 554),Defeated,House and Senate concurred ought not to pass,Restricting student & educator rights | School facilities bans | School sports bans,"['facilities', 'sports', 'education']",harmful,aclu_tracker,,
ME,LD1337,2025,Maine,L.D. 1337 (H.P. 872),Defeated,House and Senate concurred ought not to pass,Other civil rights restrictions | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws,"['sports', 'education']",harmful,aclu_tracker,,
AZ,HCR2042,2025,Arizona,H.C.R.2042,Defeated,Legislative session ended,Other anti-LGBTQ bills,['other'],harmful,aclu_tracker,,
AZ,SB1003,2025,Arizona,S.B.1003,Defeated,Vetoed by Governor,Restricting student & educator rights | School facilities bans,"['facilities', 'education']",harmful,aclu_tracker,,
AZ,SB1002,2025,Arizona,S.B.1002,Defeated,Vetoed by Governor,Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws,"['religious_exemption', 'education']",harmful,aclu_tracker,,
WI,AB58,2025,Wisconsin,A.B.58,Advancing,Passed House; Senate first read and referred to committee,Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights,"['expression', 'education']",harmful,aclu_tracker,,
ME,LD233,2025,Maine,L.D. 233 (H.P. 156),Defeated,"Died between houses, ought not to pass",Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
PA,SB9,2025,Pennsylvania,S.B.9,Advancing,Passed Senate; House re-referred to committee,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
OR,HB2439,2025,Oregon,H.B.2439,Defeated,Legislative session ended,Other anti-LGBTQ bills | Other civil rights restrictions | Weakening Civil Rights Laws,['other'],harmful,aclu_tracker,,
OR,HB2037,2025,Oregon,H.B.2037,Defeated,Legislative session ended,Restricting student & educator rights | School facilities bans | School sports bans,"['facilities', 'sports', 'education']",harmful,aclu_tracker,,
OR,SB787,2025,Oregon,S.B.787,Defeated,Legislative session ended,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
OR,SB618,2025,Oregon,S.B.618,Defeated,Legislative session ended,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
OR,SB899,2025,Oregon,S.B.899,Defeated,Legislative session ended,Healthcare age restrictions | Healthcare restrictions | ,['healthcare'],harmful,aclu_tracker,,
OR,HB3330,2025,Oregon,H.B.3330,Defeated,Legislative session ended,Religious exemptions | Weakening Civil Rights Laws,['religious_exemption'],harmful,aclu_tracker,,
OR,SB1100,2025,Oregon,S.B.1100,Defeated,Legislative session ended,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
OR,HB3740,2025,Oregon,H.B.3740,Defeated,Legislative session ended,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
NC,S442,2025,North Carolina,S442,Passed into Law,Governor signed,Healthcare restrictions | Other healthcare barriers,['healthcare'],harmful,aclu_tracker,,
NJ,A775,2025,New Jersey,A.775,Advancing,Motion to table prevailed,Restricting student & educator rights | School sports bans,"['sports', 'education']",harmful,aclu_tracker,,
MA,H551,2025,Massachusetts,H.551,Advancing,Hearing scheduled from 11:00 AM-05:00 PM,Curriculum censorship | Forced outing in schools | Restricting student & educator rights,"['schools_speech', 'education']",harmful,aclu_tracker,,
TX,SB12,2025,Texas,S.B. 12,Passed into Law,Governor signed,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,['education'],harmful,aclu_tracker,,
TX,HB229,2025,Texas,H.B. 229,Passed into Law,Governor signed,Other anti-LGBTQ bills,['other'],harmful,aclu_tracker,,
TX,SB1188,2025,Texas,S.B. 1188,Passed into Law,Governor signed,Other anti-LGBTQ bills,['other'],harmful,aclu_tracker,,
IA,SF220,2025,Iowa,S.F.220,Advancing,"Legislative session adjourned, carries over to 2026",Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,"['religious_exemption', 'healthcare']",harmful,aclu_tracker,,
FL,HB731,2025,Florida,H.B. 731,Defeated,Legislative session adjourned,Other anti-LGBTQ bills,['other'],harmful,aclu_tracker,,
FL,HB75,2025,Florida,H.B. 75,Defeated,Legislative session adjourned,Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights,"['expression', 'education']",harmful,aclu_tracker,,
FL,SB440,2025,Florida,S.B. 440,Defeated,Legislative session adjourned,Other anti-LGBTQ bills | Religious exemptions | Weakening Civil Rights Laws,['religious_exemption'],harmful,aclu_tracker,,
FL,SB1710,2025,Florida,S.B. 1710,Defeated,Legislative session adjourned,Other anti-LGBTQ bills,['other'],harmful,aclu_tracker,,
FL,HB1307,2025,Florida,H.B. 1307,Defeated,Legislative session adjourned,Restricting student & educator rights | School facilities bans,"['facilities', 'education']",harmful,aclu_tracker,,
FL,HB1495,2025,Florida,H.B. 1495,Defeated,Legislative session adjourned,Other anti-LGBTQ bills | Religious exemptions | Weakening Civil Rights Laws,['religious_exemption'],harmful,aclu_tracker,,
ND,HB1144,2025,North Dakota,H.B. 1144,Passed into Law,Governor signed,Restricting student & educator rights | School facilities bans,"['facilities', 'education']",harmful,aclu_tracker,,
NE,LB89,2025,Nebraska,L.B.89,Passed into Law,Governor signed,Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws,"['identity_documents', 'public_accommodations', 'sports', 'education']",harmful,aclu_tracker,,
MT,HB819,2025,Montana,H.B. 819,Passed into Law,Governor signed,Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights,"['expression', 'education']",harmful,aclu_tracker,,
MO,SB10,2025,Missouri,S.B. 10,Defeated,Legislative session ended,Healthcare age restrictions | Healthcare restrictions | Restricting student & educator rights | School sports bans,"['sports', 'healthcare', 'education']",harmful,aclu_tracker,,
OK,HB1224,2025,Oklahoma,H.B.1224,Advancing,"Did not meet passage requirements, dormant until carried over",Religious exemptions | Weakening Civil Rights Laws,['religious_exemption'],harmful,aclu_tracker,,
NV,AB56,2025,Nevada,A.B.56,Passed into Law,Governor signed,Healthcare restrictions | Other healthcare barriers,['healthcare'],harmful,aclu_tracker,,
MT,SB240,2025,Montana,S.B. 240,Defeated,Died in process,Other anti-LGBTQ bills,['other'],harmful,aclu_tracker,,
MT,SB164,2025,Montana,S.B. 164,Defeated,Died in process,Healthcare age restrictions | Healthcare restrictions | ,['healthcare'],harmful,aclu_tracker,,
WI,SB146,2025,Wisconsin,S.B.146,Advancing,Senate passed; House first read and referred to committee,Barriers to accurate IDs | ,['identity_documents'],harmful,aclu_tracker,,
WI,AB124,2025,Wisconsin,A.B.124,Advancing,Reported favorably by committee as amended and re-referred to committee,Barriers to accurate IDs | ,['identity_documents'],harmful,aclu_tracker,,
TX,SB1999,2025,Texas,S.B. 1999,Defeated,Legislative session ended,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,['education'],harmful,aclu_tracker,,
TX,SB1073,2025,Texas,S.B. 1073,Defeated,Legislative session ended,Religious exemptions | Weakening Civil Rights Laws,['religious_exemption'],harmful,aclu_tracker,,
